Alasyamhim
Arabhetaiv
amArambhoh
amgamavedI
amirvedama
amugamtums
dhamuHpauS
dhamuHpauShpama
doShabhIte
jamasthAme
kusumamvar
likhamtuka
mAtmAmamav
mAtyuchash
paThatomAs
patatikadA
rathasyaik
ratmairmah
shAstrAmya
udyamasAha
udyamemahI
udyamemahi
udyogimamp
vyavasAyAt
yathAhieke
yoyamartha
