abhilaSham
adharamamR
adharamkha
adharosauk
adharoyama
alpemApisu
apimRgAxit
asyAmukhemdAvad
bamdhUkaba
jAmetirAgA
mukhAravimdadat
priyAmukhI
puShpampra
samtatoday
sarvasyaiv
tavaiShavi
tvampIyUSh
utthitomis
