Alimgamtem
atimamdach
hemAmbhoru
himalavasa
kAverItIrabhUmI
latAkumjam
malayashik
pAmIyamAri
pathipathilatAl
prAptaHprA
samadamama
sphuTamida
udamchatkA
upavamatar
vimayatisu
vipulakama
yathAyathamtAHs
yedolAkeli
