arthAturAmAmagu
bhrAmtamde
dAmambhogo
dhyAyatovi
ichChatishatIsa
kusUladhAm
lobhAtkrod
lobhAtkrodhaHpr
lobhAviShT
lobhaHprat
lobhaHsadA
lobhamUlAm
lobhamUlAmipApA
lobhemabud
lubdhasyam
mAmdhAtAsamahIp
mAtarampit
parasyapID
prAyemadha
prAyodhama
sAmiShamku
samtoShAmR
satyaprash
smehopapam
yaddhAtrAm
yadurgATav
yathAhyamA
yohidatvAd
