Alimgamtem
Amrepalavi
ArUDhomala
AsvAditams
AyAtAmadhurajam
abhimayAmp
adhvamyair
adhvamyasy
alibhiramj
amadayamad
amubhavama
apatuShAra
arumarAgam
arumitAkhi
asUtasadya
asaumaruch
atimamdach
atrAmtareb
aviralakam
bAlemduvak
bRhatsAmat
bakulakula
chUtAmAmch
chUtAmkurA
dadaurasAt
datejamosa
dhumvamtya
dhvajapaTa
etasmimdax
gItAmtareS
garbhagram
hemAmbhoru
himalavasa
himavyapAy
hutahutAsh
ihahimavav
ihamadhupa
imdimdirai
jagauvivAh
kAverItIrabhUmI
kUjitAmika
kamalimIma
kimatramad
kimshukaka
kimshukaxi
kokilashch
kuberagupt
kupitApima
kusumajama
kusumakArm
kusumamaga
kusumameva
lagmadvire
lalitavibh
latAkumjam
mAkamdachy
mRgAHpriyA
madhudvire
madhukarai
madhurayAm
malayAmilamilam
malayashik
mamdoyamal
matajalamy
mavapalAsh
mayagumopa
meyamvirau
muhuramupa
pAmIyamAri
parichumba
paryAptapu
patamgapAk
pathipathi
pathipathilatAl
prAptaHprA
prasUmakal
prasUmashR
prasphurat
prathamamamyabh
priyasakhI
puShpAmipr
rathasthit
ratipatipr
repAmthAHs
sAmyamsamp
sAtamvItig
sadyaHprav
sahakAraku
samabhisRt
samadamama
samavaloky
sapadisakh
savyAdheHk
shrutisukh
shushubhir
shvasamach
smarahutAs
sphuTamida
sphuTamivo
sthAmesthA
sthalakama
stotramcha
subhagekoT
suhRdastar
suvadamAva
tyajatamAm
udamchatkA
udyadvidru
umIlamadhu
upachitAva
upahitamsh
upavamatar
upayayauta
utphulapam
utsraShTum
vArastrIva
vadamasaur
vakremashi
varmapraka
vasamtaprA
vikasatisa
vikasitaku
vilAsibhir
vilulitAla
vimayatisu
vipulakama
virachitAm
vramagurup
vyatItakal
yathAyathamtAHs
yedolAkeli
