AyAtaHkumu
amAlochyap
amchatiraj
amgulyagra
arumechata
asadvRtomA
ayestamaya
chapalahRd
jahIhikopa
kupitAsiya
likhamAste
mAmamAmimimumch
motalpambh
mugdhekima
mugdhemAma
mugdhemugd
ramamechar
sabhayacha
smerarAjIv
smigdheyat
tvAmchitem
vidayalima
yadikupyas
