AyurvedakR
ajmAtashAs
amyAmishAs
atamujvara
bhaiShajya
bhrAmtAved
chaxUroges
chikitsaka
chitAmpraj
dRShTerava
daivajmatv
guroradhIt
hetaulimge
jRmbhamAme
jmAtAmabho
kaShAyairu
kuryAmipat
lipsamAmeS
mAbodhivai
mAtidhairy
maTopidady
madhAtorvi
maitrIkAru
masteduHsa
midAmamrog
mithyauSha
pravartamA
rAgAdirogA
rogasyopak
satkaumaml
svasthaira
vaidyAmAms
vaidyaHkrU
vaidyarAja
vaidyarAjamamas
vaidyohare
