AchChAdaya
bahujagada
chamdamams
dampatyorm
darpameShu
dhamyAsiyA
dhamyAstAH
gADhAshleShavis
kAmtetalpa
kimapikAmt
kvachitAmb
makhaxatam
midrAtumdi
prabhAtepR
rAjaterAja
ratakhimat
sakhidasha
samvaramAy
shashapada
tasyAHpATa
uShasipari
vaxastedRD
yadrAtraur
