amekavidva
chimtAsakt
dhamadaird
gururekaHk
kvachichAr
mAhUtApipu
padmAmamAp
sAgmayopik
sArasvates
sabhAkalpa
sadvedimad
suvarmavar
vibudhAval
vidvAmsaHk
