abhyupayuktAHsa
abudhairar
adAturmAma
ahodhamAmA
arthimikavayati
asambhogem
atisAhasam
atisamchay
aurvAivAti
ayashchama
bhavatikRp
bodhayamti
dAmambhoga
dAmopabhogarahi
dRDhataram
daivavashA
dhamamyadihamed
dhamimopya
dvAramdvAr
ekaikAtish
gRhamadhya
jahAtisaha
kRpamaHsva
kRpamasamR
kRpamemasa
kRpamemash
kRtvopakAr
kepisvabhA
kimshukeki
koshomayas
lokaeShapa
lubdhasyam
lubdhomavi
mAdhamAmik
mRtyuHshar
madAtumopa
mamdamarem
mamiryiyAs
mashAmtAmt
matvAsAram
mijasaukhy
mopabhoktu
phalamsvec
pipIlikArj
prAptAmapi
prItimapra
samchitamk
satidrAxAp
sharamamki
susamvRtai
temUrkhata
tyAgabhoga
udArachari
upabhogakA
vImevashro
varamamIta
varamvibha
viDambamai
yAchamAmaj
yAvipatird
yadadhodha
yadarjyate
yadetesAdh
yadibhavat
yatkarotya
yomadadAti
