adbhutasta
aparIxital
gurorgiraH
hehemitraj
hetuHkopiv
jmAmAbdhir
karkashata
karmabrahm
kartAyaeva
mImAmsakAy
maiyAyikAm
majighraty
mohamrumad
parAmRsham
prAyaHkAvy
prayatmair
sAdhuvyAka
