AgachChAga
AtesImamta
alasabhuja
amAratapar
aparmeyamb
ayemAtastA
bhUsampark
dhUlIdhArA
dharAdhara
etadbhItAr
etasmimvij
ghrAtamtAl
itashcheta
itastrasadvidru
kAThimyamk
kAtvamputr
karShadbhi
krAmamtyaH
kurubakaku
maulimAmav
pashyetkas
prAptAstrA
rAjamdviSh
rAjamrAjas
sAlakAmama
samastAvam
smAtAHprAv
sphuTatara
svakAmtada
svalpambrU
svapmepixi
tAdRgdamDa
tamvImujjh
tvadarimRp
tvadarimRpatike
tvadvairim
tvapratyar
vIratvadri
vIratvadva
vamekhilak
varShAsubh
vicharamti
vimumchati
xamamkAmtA
xomIpAlatv
yAtItaHpAm
yekamdarAs
