avashyamam
bhaktishra
bhaktyAsid
bhogArhema
brahmAyema
buddhiyukt
dhamAmibhU
dvAsuparmA
gAyatrImAt
kAmamayaev
karmabhATa
maimamChim
mamasyAmod
mamepArthA
mamtrabhra
sItAmiShkA
satyAmusAr
shrutismRtImama
shrutismRtipurA
tadetatriv
vyavasAyAt
yadbhagmam
