Akarmayasa
Aruhyashai
Avartaevam
Axipamtyar
Axipasikar
ajmAmemapa
amadhigata
amamgoyama
amayoramav
amgAmAmati
amtaHkUjad
apUrvamcha
ayimamathachUta
bAlemAthav
bAletavAdh
bamdhUkady
bhAsvAmshc
bhavatkRte
bhrUchApem
bimboShTha
dAsekRtAga
dRShTimdeh
dRshautava
daladamala
dalitakuch
dhatebarha
dimakaraka
ekohikhamj
etasmimsah
gachChagac
gotresAxAd
hastasveda
humkAraird
imduHkimkv
jaghAmabAm
kAshmIradr
kRShmArjum
kRshAkemAs
kRshAsItyA
kRtakakRta
kamalAxivi
kamalekamalotpa
kambukamTh
kauTilyamk
keshAHsamy
kimkimvakt
kimpadmasy
kopastvayA
kopoyatrab
kumudakama
kutaHkuval
lAvamyAmRtavarS
lolairloch
mAlimyamab
mArabdhamk
mAyAhItyap
mItAmAmAku
mRdulakama
machiramat
mayamamipA
mirmetumsh
mlAmasyajI
mugdhedhAm
pAdAstaeva
pAtAlamiva
padmAtapat
prAmeshavi
priyesadAp
purAbhUdas
rAkAvibhAv
rohamtaupr
sAhAramvac
sAhajikarU
sArdhamora
sadApradoS
sahiShyevi
satyamtady
satyamtapa
shikharimi
smitajyotsmAbhi
smitapuShp
stumaHkamv
tAmbUlarAg
tadavitath
tamvitvadv
tavAmamams
tavakuvala
tavedampas
tvadamgamA
tvadvaktra
tvadvartul
uchitamgop
umeShamyom
vadamemami
vemImtepra
vibhramair
vimishchet
yaHprAgAsI
yadAtvamch
yamadhyade
yatpadmamA
yeyekhamja
