Adaremayat
adhItyachaturov
advaitokti
agregItams
agrekasyac
arthaprAma
bAlikArach
bIbhatsAHp
bhixAshamambhav
dharmampra
divasaraja
imdrasyAsh
jaDAstapob
kechidvada
kemApyamar
kimtedhama
kleshatyAg
mAmemlAyim
mAtheshrIp
mRtyorbibh
mumDIjaTIv
parichChedAtIta
retaHshomi
shuchAmpAt
sthirApAya
svamastaka
vishIrmaHp
vivekaHkim
vivekaevav
yadApUrvam
yadAsIdajm
yasmimvast
yeShAmshrI
