AtAmratAma
adyArabhyayadip
akaroHkimu
amgAmikhed
amirdayopa
aparAdhImU
bharturyas
bhrUbhamga
bhrUbhamgamakar
bhugmAlaka
charamakamaladA
chaxurjADy
dAximyamAm
dhRShTaHki
gataprAyAr
ghamaghama
idamdUrvAk
idamkRShma
imdIvarema
kRtepyAjmA
kRtodUrAde
kaThimahRdayemu
kalyAmAmga
kapolepatrAlIka
kathamapis
kekAbhiHka
kimapikima
kimkamThes
kimshIkara
kimtemisar
kimtvAmbha
kimuktamAs
koyamkopav
lAvamyakAm
mAmAsasAdh
mAmamAmimi
mAmavyAdhi
mAmomatety
madhudhAre
mavamakhap
mayimalaya
mayitepAda
miHshvAsAv
mochATushr
mohAmayAsu
mugdhemAmi
mugdhevidh
muhurmuhUr
mukhamimdu
muktomAmap
pAdAsaktes
pariharakR
pariluThat
prasAdevar
prasIdetib
purodigamu
sUryestAch
sakRdivasa
samtyevAtr
saralesAha
shItAmshurmukha
shashimukh
smigdhamya
soDumalama
sphurasibA
subhrutvam
subhrutvamavamI
sutamuhRda
sutamujahi
tadvaktrAb
taramgayad
tvAmayamAb
tvamtAvadb
tvayimibad
udamchayad
upachArAmumayAs
utaramgaya
vikiradhav
virAmamevA
visRjasumd
vitarayaku
vyAvRtamkh
vyathayativRthA
xImAmshuHs
xImaHxImop
yadgamyamg
yadidamaga
yadipriyev
yatpamkeru
