Alapatipik
Alokyachikurami
UrdhvamIra
UrudvayamR
adharemadh
akRshamita
alIkarUpoy
amgambhUSh
asyAshched
avyAjasumdarImt
bAhUdvauch
bamdhUkabamdhur
bhRmgAlImu
bhrUshchit
bhrUyugmam
chaxurmech
dAyAdatvam
dIrghAxams
dRShTiHkAp
damtaprabh
etasyAHsta
gurumAstam
idamvaktra
imdurlipta
jAmImovada
jAmImovaya
jighratyAm
kArtsmyema
kalayatiku
karevemIme
karmArumtudamev
karmAxidam
karmotsamg
kimtArumya
mIlAbjAmAm
madhuraHsu
madhyamviS
mayamayugA
metrekhamj
metropAmta
mukhamyadi
mukhemacha
muktAvidru
pAmAyAdhar
padAbhyAmu
phalAyatek
pratyamgamasyAm
rAjIvajIva
sAdRShTAya
sAdugdhamu
sArAmamIya
samyastabh
sarvopamAd
saurabhama
saurabhyamRgalA
smigdhasme
smigdhemdr
tadAtadamg
tadvaktramyadim
tamaHstoma
tamvIshara
tamvIshyAm
tarumimamikalay
vApIkApisp
vahatyasyA
vaktramirm
vaktreguru
vemIbamdhamahIm
vemIvelama
vemIviDamb
vikasametr
vimaivAmbh
vyAkoshako
yashaHpadA
yatIrthAmb
yatoyatomg
yemotpalAm
