ADhyastyaj
AHpAkamaka
AbaddhakRtrimas
AchArAtlab
AchAraHpra
AchArachUr
AchArahIma
AchAraprabhavod
AchAryobrahmalokaish_1
Achimotich
AdAmasyapr
AdarAdamuy
AdaugRhIta
AdaugamiSh
Adaumamras
AdauveshyA
AdityAmAma
Adityasyag
Adityasyod
AgachCheti
AhArogaralAyate
AhUtAmAyAs
AjamaHshAT
AkArasadRs
AkarmAmtam
AkhamDalaH
AkruShTema
Alasyamhim
Alasyamsth
AmUlAdratm
AmamdabASh
AmamdamiHs
AmdhrabhAS
AmglabhASh
ApAmDurAHs
ApAtAlamab
ApUryamAmamacha
Apadikimar
AparitoShA
ApatkAletu
Aphalodaya
ArShamdhar
Arabhamtel
Arabhetaiv
Arambhagur
ArdrAparAd
ArogyambhA
ArtAdevAma
ArtamAdama
AshAmAmamamuShy
AshcharyamvaDav
AstAmtAvadvacha
AstAmvishv
AsyAsukham
AtmAmamara
AtmAmamham
AtmAmamkav
AtmAmamrat
AtmAtvamgi
AtmamaHpar
Atmamomukh
AvayoHsamg
AyatyAmgumadoSh
AyuHprashm
AyuShaHkha
AyuShaHxamaekopisarv_1
AyudhAmAma
Ayurdromas
AyurgatAga
Ayurmashya
ChAyAsamsh
ChamdapAda
Chimopiroh
Chimopirohatita
DAkimyAmRk
Dimbhomamd
RShayaHpit
RShayorAxa
RtAmRtAbhy
RtvikpurohitAch
TiDhAmamdv
UDhAyemama
UrdhvAxaHp
UrdhvabAhu
aShTAdashapurAm
aShTAgavam
aShTaugumA
aShTauvyAk
aTashUlAja
abaddhovAs
abhayamabh
abhimukham
abhivAdamashIla
abhivAdayedvRdd
abhyAsapar
abhyAsyaml
achalastiS
adhIshvapu
adhItyachaturovedAms_1
adhaHpashyatiki
adharmemai
adharmepat
adhikArAbh
adhikasita
adhodRShTi
adhvamImot
adhvamyasy
adhyApamam
adhyApayam
adrohemaiv
adyApidurm
adyApimojj
adyApyatya
adyApyudya
adyadhArAm
adyaivakuruyaCh
adyaivasha
adyaprabhRtihel
agAdhajala
agadArkama
agajAmamap
agastituly
agatitvama
aghamsakev
agmeraxaja
agmidAhema
agmihotramtrayovedAs_1
agmihotramukhAv
agmirdahat
agmirdevod
agredIrgha
ahamchatva
ahamrudrAy
ahetuhasam
ahimRpamch
ahokemedRs
ahoprabhAv
ahorAtrAmi
ahorasikat
aishvaryasyavib
ajarAmarav
ajmaHsukha
ajmasyArdh
ajmebhyogr
akAlajaladashlo
akAlamRtyuharam
akAramemai
akRtvApara
akachaTata
akalamkodR
akasmAduma
akrUrasyam
akrUroyama
alamkArAdU
alamkArAdUramsa
alpAxarara
alpamAmapi
alpasatvop
amAdebhrUmahAmA
amAgatampr
amAkRShTas
amAmAteShu
amAmitvama
amArAdhyak
amArambhoh
amAyAsemam
amAyAsemamarama
amabhUtAhi
amabhyAsemavedA
amadAmampa
amadhItyad
amamgIkRtakamda
amamgapali
amamtachar
amamtaratm
amamtashch
amapatyeSh
amapexitag
amarthitar
ambAkupyatitAta
ambhasAbhi
ambrahmAra
amekairmAy
amekasamsh
amekashAst
amgIkurumi
amgamavedI
amgemagAtr
amgulIbhir
amirvedama
amirvedamc
amitramkur
amitramkurutemi
amityAmish
amjalisthA
amkamkepis
amkolamija
amtaHkaram
amtaHshUmy
amuShThAme
amubhAvavi
amubhyashc
amudhAvamt
amudvegaka
amugamtums
amukurutaH
amurAgavat
amurapyupa
amuyAtikAm
amviShyakh
amyAmishAs
amyaChreyo
amyatrodgh
amyayAmyav
amyomyabhA
amyopicham
apAmgAbhUy
apArekAvya
apRShTotrA
apRShTvaiv
apUparAsha
apUrmApila
apUrvaHkop
apUrvaHkopikosh
apUrvakopi
apashyamiv
apathyamAy
apatyamdha
apeyamkimt
apidivasam
apikriyArt
apipauruSh
apiprasame
apisampUrm
aprAptakAlamvac
aprakaTIkR
apratyaxAm
apriyAmyapikurvAmoya_1
apriyamukt
apsuplavam
arAtiratam
arUxamupad
arbhakArti
archAmItid
archakasyaprabh
archiShmam
ardhArdhAd
ardhambhAryAmam
arjumasyapratij
arthAHgRhe
arthAHpAda
arthAlamkA
arthAmAmga
arthAturAmAmagu
arthImAmup
arthematus
arumakiram
asamAmetap
asambhavam
asambhramo
asamshayam
asarojabha
asatopibha
asaudhvami
asaushRmut
